"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"vtkValidPointMask"	"Time"	"Point Coordinates:0"	"Point Coordinates:1"	"Point Coordinates:2"
9.04195e-01	-3.65420e-02	7.63458e-02	5.21445e-02	6.52381e-01	2.58766e-01	-3.86906e-01	1	8.00000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.18277e-01	2.29470e-02	4.11896e-02	5.18898e-02	6.69167e-01	2.66596e-01	-2.81993e-01	1	8.10000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.22948e-01	6.69370e-02	-3.89823e-02	1.44695e-02	6.71003e-01	2.67055e-01	-2.70520e-01	1	8.20000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.07960e-01	9.30842e-02	-7.00320e-02	-4.48676e-02	6.42268e-01	2.53475e-01	-4.50113e-01	1	8.30000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.52271e-01	4.02165e-02	-2.84307e-02	-3.83236e-02	5.88674e-01	2.34556e-01	-7.85075e-01	1	8.40000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.36485e-01	-5.28112e-02	7.81102e-02	-4.70687e-02	5.72163e-01	2.26210e-01	-8.88268e-01	1	8.50000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.53180e-01	-1.17514e-01	1.35297e-01	-2.45524e-02	5.86292e-01	2.26847e-01	-7.99961e-01	1	8.60000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.76457e-01	-1.37197e-01	1.81316e-01	-1.67044e-02	6.12764e-01	2.33245e-01	-6.34509e-01	1	8.70000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.03111e-01	-7.02202e-02	1.79110e-01	1.25837e-02	6.45983e-01	2.50162e-01	-4.26891e-01	1	8.80000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.19505e-01	1.11636e-02	1.07179e-01	2.02217e-02	6.68640e-01	2.64841e-01	-2.85286e-01	1	8.90000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.31752e-01	8.65565e-02	2.29749e-02	-1.75516e-02	6.77456e-01	2.69195e-01	-2.30188e-01	1	9.00000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.29099e-01	1.72612e-01	-4.96163e-03	-5.84898e-02	6.57246e-01	2.55743e-01	-3.56498e-01	1	9.10000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.56700e-01	1.32140e-01	-1.03238e-02	-3.60889e-02	5.95105e-01	2.33637e-01	-7.44880e-01	1	9.20000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.23469e-01	-2.23701e-02	4.66546e-02	-4.17184e-02	5.64354e-01	2.24669e-01	-9.37071e-01	1	9.30000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.59371e-01	-1.81025e-01	1.15051e-01	-4.58775e-03	5.94159e-01	2.26952e-01	-7.50791e-01	1	9.40000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.13112e-01	-1.22808e-01	1.56379e-01	4.63930e-02	6.50516e-01	2.51075e-01	-3.98563e-01	1	9.50000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.36937e-01	-9.29692e-03	8.44805e-02	5.65021e-02	6.81278e-01	2.70288e-01	-2.06296e-01	1	9.60000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.49044e-01	8.41917e-02	-2.24317e-02	1.90948e-02	6.86170e-01	2.72791e-01	-1.75725e-01	1	9.70000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
9.17732e-01	1.91083e-01	-8.54199e-02	-6.22199e-03	6.45060e-01	2.48468e-01	-4.32658e-01	1	9.80000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
8.19841e-01	1.83987e-01	-8.33334e-02	2.99235e-02	5.65127e-01	2.15880e-01	-9.32240e-01	1	9.90000e+01	-4.34565e-01	9.44167e-02	2.64000e-02
7.86625e-01	8.70650e-02	3.75700e-02	-1.96069e-02	5.36765e-01	2.12322e-01	-1.10950e+00	1	1.00000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.10594e-01	2.91762e-02	9.01719e-02	-9.16959e-02	5.55544e-01	2.17927e-01	-9.92137e-01	1	1.01000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.34971e-01	-8.36697e-02	1.41493e-01	-8.82277e-02	5.73896e-01	2.21222e-01	-8.77435e-01	1	1.02000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.72470e-01	-1.60685e-01	1.82483e-01	-1.33733e-01	6.09234e-01	2.26041e-01	-6.56575e-01	1	1.03000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.87774e-01	-1.33031e-01	1.35861e-01	-1.37705e-01	6.33417e-01	2.40949e-01	-5.05432e-01	1	1.04000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.98298e-01	-8.75081e-02	1.10677e-01	-7.72742e-02	6.46536e-01	2.52853e-01	-4.23434e-01	1	1.05000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.17503e-01	-2.63417e-02	6.50367e-02	-4.05471e-02	6.66301e-01	2.65089e-01	-2.99904e-01	1	1.06000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.32074e-01	6.27820e-02	-1.16862e-02	-5.88583e-02	6.78572e-01	2.69810e-01	-2.23212e-01	1	1.07000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.39547e-01	1.64338e-01	-3.25501e-02	-6.41672e-02	6.68713e-01	2.60634e-01	-2.84831e-01	1	1.08000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.80585e-01	1.73420e-01	-7.22352e-02	-3.76466e-03	6.12678e-01	2.37052e-01	-6.35048e-01	1	1.09000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.18504e-01	1.73453e-02	-6.87486e-03	1.71082e-02	5.64398e-01	2.25603e-01	-9.36798e-01	1	1.10000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.42539e-01	-3.63572e-02	7.87315e-02	-6.40987e-02	5.83863e-01	2.30785e-01	-8.15144e-01	1	1.11000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
8.73503e-01	-4.48689e-02	1.07570e-01	-1.19015e-02	6.08299e-01	2.40177e-01	-6.62415e-01	1	1.12000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.12676e-01	-1.30152e-01	8.17194e-02	2.05438e-02	6.45399e-01	2.52892e-01	-4.30544e-01	1	1.13000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
9.28522e-01	-9.60720e-02	2.08533e-03	1.90674e-02	6.70146e-01	2.65991e-01	-2.75873e-01	1	1.14000e+02	-4.34565e-01	9.44167e-02	2.64000e-02
