t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  2.4031300E+02         9.0833616E-01         1.2990221E-01         7.7384040E-02         4.9739521E-02         6.4605576E-01         8.9082134E-01         1.4102481E-01         1.1699181E-01        -1.6906141E-01         6.2603313E-01         9.3950808E-01         9.4009161E-02         1.0786532E-01        -5.5882938E-02         6.7537415E-01         9.3545532E-01         3.5332888E-01         4.3966945E-02        -2.6851874E-03         6.6358256E-01         9.5218354E-01         2.2906224E-01         3.4549870E-02         1.1379531E-02         6.7077261E-01         9.5207316E-01         2.9528150E-01         9.1756307E-02         3.8614906E-02         6.7409152E-01         9.6399927E-01         3.4789059E-01         3.3946484E-02        -2.7149240E-02         6.7915756E-01         9.5272082E-01         3.3761963E-01         4.4177365E-02        -4.1277524E-02         6.8003374E-01         9.3703723E-01         2.2319293E-01         1.4596498E-01        -1.0221851E-01         6.6683149E-01
  2.4032870E+02         9.0768540E-01         1.3612384E-01         8.8907212E-02         5.4674316E-02         6.4593762E-01         9.0850133E-01         7.8671426E-02         1.7904893E-01        -1.0056346E-01         6.3981628E-01         9.4539875E-01         1.2605172E-01         8.0849119E-02        -5.3856377E-02         6.7977065E-01         9.3093503E-01         2.5284109E-01         9.7378381E-02        -4.3899026E-02         6.6515589E-01         9.4217509E-01         2.0086676E-01         5.7424285E-02         3.8375117E-02         6.7124182E-01         9.6087688E-01         3.2736522E-01         3.8585905E-02         3.0282376E-02         6.7611665E-01         9.6012449E-01         3.6319199E-01         4.5388848E-02        -3.0373394E-02         6.7771035E-01         9.5765662E-01         3.6304906E-01         2.1421121E-02        -3.4946661E-02         6.7998517E-01         9.3504059E-01         2.5741884E-01         9.2240147E-02        -1.0059287E-01         6.7014509E-01
  2.4034420E+02         9.0821379E-01         1.3740709E-01         9.5463835E-02         5.2814048E-02         6.4657450E-01         9.2513752E-01         2.0619251E-02         1.7181346E-01        -3.7884459E-02         6.5511268E-01         9.5273656E-01         1.9233653E-01         7.0255086E-02        -3.2094669E-02         6.8129015E-01         9.2988127E-01         1.8110956E-01         1.1068133E-01        -2.4666052E-04         6.6839594E-01         9.3461978E-01         1.8149683E-01         8.5058451E-02         4.8521359E-02         6.7275262E-01         9.6522081E-01         3.1721857E-01        -1.2126192E-02         1.3688999E-02         6.7561406E-01         9.5584714E-01         3.4815383E-01         7.2047994E-02        -5.2182250E-02         6.7802209E-01         9.6473318E-01         3.9712536E-01         2.1609001E-02        -1.7155439E-02         6.7926854E-01         9.4482899E-01         3.2383281E-01         4.0690143E-02        -6.6760473E-02         6.7404258E-01
  2.4035990E+02         9.0936559E-01         1.2744111E-01         9.6786544E-02         4.4713944E-02         6.4785898E-01         9.3164361E-01        -1.8394219E-02         1.4008227E-01        -1.9233631E-02         6.6292280E-01         9.6047777E-01         2.7304202E-01         7.1497738E-02         2.5003389E-02         6.7989618E-01         9.4095051E-01         2.3730564E-01         2.7674116E-02         1.6658314E-01         6.6642469E-01         9.3756151E-01         1.7301278E-01         1.0378782E-01         3.3838023E-02         6.7469579E-01         9.6104860E-01         2.9348552E-01        -2.2622606E-02         1.8521350E-02         6.7448360E-01         9.5227015E-01         3.1693447E-01         7.9247229E-02        -8.1838042E-02         6.7819732E-01         9.6713293E-01         4.0303081E-01         2.1784816E-02        -1.1914358E-02         6.7937553E-01         9.5930707E-01         3.7303227E-01         3.3958506E-02        -4.4027232E-02         6.7775357E-01
  2.4037540E+02         9.1083223E-01         1.0876334E-01         9.4800308E-02         3.3455383E-02         6.4955145E-01         9.3535322E-01        -3.0082725E-02         9.2526667E-02        -1.1474253E-02         6.6881984E-01         9.6218091E-01         3.1328472E-01         4.8926711E-02         3.6414515E-02         6.7592400E-01         9.2966545E-01         2.0521733E-01         8.2046896E-02         3.0417898E-01         6.6265053E-01         9.4329625E-01         1.6575474E-01         9.9781998E-02         2.6676707E-02         6.7585856E-01         9.5184642E-01         2.7196318E-01         1.0216389E-04         5.2771173E-02         6.7403984E-01         9.5378220E-01         3.0690885E-01         3.2286201E-02        -1.1292096E-01         6.7707366E-01         9.6527189E-01         3.8603586E-01         1.8638290E-02        -2.0958979E-02         6.8100661E-01         9.6256375E-01         3.8393116E-01         9.2929021E-02        -2.1777179E-02         6.7932248E-01
  2.4039110E+02         9.1164577E-01         8.6937658E-02         9.0612948E-02         2.2877742E-02         6.5061468E-01         9.3812072E-01        -1.0019375E-02         3.2845117E-02        -2.7156717E-03         6.7278439E-01         9.4722652E-01         2.9590338E-01         3.2118347E-02        -2.2693034E-02         6.6886950E-01         9.2216110E-01         2.0852774E-01         7.4473672E-02         3.0183971E-01         6.5542740E-01         9.4342554E-01         1.7675705E-01         8.2833439E-02         2.2495886E-02         6.7453808E-01         9.4559622E-01         2.4242420E-01         1.8188437E-02         1.0727496E-01         6.7262709E-01         9.5456624E-01         3.1068856E-01        -2.0857140E-02        -1.2212888E-01         6.7238790E-01         9.6492821E-01         3.6868027E-01         2.0310458E-02        -2.8251214E-02         6.8272668E-01         9.5583922E-01         3.7583002E-01         1.1941107E-01         8.4897000E-03         6.7852813E-01
  2.4040680E+02         9.1129011E-01         6.3831523E-02         8.4511079E-02         1.1673662E-02         6.5073526E-01         9.3982232E-01         3.9569382E-02        -8.2068155E-03        -4.3053683E-03         6.7400467E-01         9.2411721E-01         3.2342130E-01         3.2971565E-02        -3.4081407E-02         6.5866983E-01         9.2158288E-01         2.4590170E-01         3.5804354E-02         1.6412000E-01         6.5710557E-01         9.3861461E-01         1.6119844E-01         7.8100093E-02         4.2033251E-02         6.7223990E-01         9.4472951E-01         2.1809235E-01         3.1118941E-02         1.4019430E-01         6.7097735E-01         9.4690311E-01         2.8276187E-01        -2.5094771E-03        -9.1124259E-02         6.6760081E-01         9.6741861E-01         3.6242291E-01         2.5711149E-02        -2.4599854E-02         6.8333840E-01         9.4857097E-01         3.3176693E-01         1.1110593E-01         1.2487402E-02         6.7611092E-01
  2.4042230E+02         9.1087109E-01         3.8604785E-02         7.2912522E-02        -2.1408095E-04         6.5100497E-01         9.3890804E-01         9.8293468E-02        -1.2841790E-02        -1.4837053E-02         6.7168397E-01         9.1707182E-01         3.3598357E-01         4.7784951E-02        -2.1607913E-02         6.5410602E-01         9.3029344E-01         2.3915496E-01         5.9798338E-02        -7.6031581E-02         6.6898346E-01         9.3668014E-01         1.0359696E-01         8.2317784E-02         9.4387174E-02         6.7262632E-01         9.4340283E-01         2.0309427E-01         4.9529437E-02         1.4716059E-01         6.6932470E-01         9.4255626E-01         2.3853420E-01         7.9026811E-02        -5.0346326E-02         6.6590577E-01         9.6971816E-01         3.6116198E-01         2.6636062E-02        -1.6051762E-02         6.8315303E-01         9.4262445E-01         2.8150961E-01         1.0864130E-01         1.7161258E-04         6.7187703E-01
  2.4043800E+02         9.1024005E-01         1.5190998E-02         5.6108028E-02        -5.9954873E-03         6.5118259E-01         9.3484932E-01         1.5240130E-01         2.2364348E-02        -2.9742334E-02         6.6675472E-01         9.1886252E-01         2.3171045E-01         6.8616778E-02         4.1152027E-02         6.5679252E-01         9.4750756E-01         2.8901842E-01         8.5834533E-02        -1.2646516E-01         6.7526031E-01         9.3657631E-01         9.3611725E-02         8.1157222E-02         1.1632382E-01         6.7321682E-01         9.4130099E-01         1.9579454E-01         6.5892838E-02         1.2374220E-01         6.6883475E-01         9.4442511E-01         2.0472194E-01         1.6353057E-01        -4.6563108E-02         6.6783977E-01         9.7021139E-01         3.5771269E-01         1.5171617E-02        -6.4969524E-03         6.8291581E-01         9.3631411E-01         2.6252961E-01         9.5313646E-02        -1.5804619E-02         6.6708410E-01
  2.4045350E+02         9.1048986E-01        -3.4675791E-03         4.3907758E-02        -1.0301571E-02         6.5202230E-01         9.3280965E-01         2.0546731E-01         6.9444917E-02        -3.8645893E-02         6.6334391E-01         9.2424488E-01         2.7393857E-01         7.8064919E-02         1.0039772E-01         6.5768510E-01         9.5778465E-01         3.4823060E-01         1.0482933E-01        -4.4560883E-02         6.7595869E-01         9.3752158E-01         1.3929774E-01         7.2915114E-02         9.0907864E-02         6.7325383E-01         9.3892175E-01         1.9426505E-01         8.0508783E-02         8.4017143E-02         6.6894311E-01         9.4455838E-01         2.1288073E-01         1.7334665E-01        -5.0302092E-02         6.6997468E-01         9.6842045E-01         3.4635738E-01        -1.3042953E-03         6.0308985E-03         6.8245757E-01         9.3625021E-01         2.7591363E-01         5.7204653E-02        -6.2532790E-02         6.6599935E-01
