"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-1.59293e+00	-1.23478e-01	1.86607e-01	9.34281e-01	6.68602e-01	3.89415e-01	6.85041e-03	4.75313e-02	2.16630e-03	-6.28973e-03	-6.10826e-05	-7.27865e-04	1	7.70000e-02	7.50000e-01	2.50000e-01	-3.30000e-02
-1.44503e+00	-2.59313e-01	1.96426e-01	9.41362e-01	6.68585e-01	4.12360e-01	6.93677e-03	4.77814e-02	2.20354e-03	-6.56220e-03	-5.05176e-05	-5.63587e-04	1	7.92000e-02	7.50000e-01	2.50000e-01	-3.08000e-02
-1.33749e+00	-1.98250e-01	1.75124e-01	9.59235e-01	6.68573e-01	4.27692e-01	7.03161e-03	4.80456e-02	2.22429e-03	-6.77151e-03	-4.42430e-05	-4.00044e-04	1	8.14000e-02	7.50000e-01	2.50000e-01	-2.86000e-02
-1.26495e+00	-5.51678e-02	1.80916e-01	9.73016e-01	6.68560e-01	4.43003e-01	7.11647e-03	4.82599e-02	2.23234e-03	-6.90971e-03	-2.95237e-05	-2.38521e-04	1	8.36000e-02	7.50000e-01	2.50000e-01	-2.64000e-02
-1.20790e+00	1.02060e-01	2.70678e-01	9.88967e-01	6.68542e-01	4.67406e-01	7.19615e-03	4.83811e-02	2.23585e-03	-7.02241e-03	6.52457e-07	-7.63042e-05	1	8.58000e-02	7.50000e-01	2.50000e-01	-2.42000e-02
-1.15361e+00	2.91577e-01	4.25952e-01	1.02550e+00	6.68514e-01	5.08354e-01	7.23336e-03	4.84359e-02	2.24031e-03	-7.13351e-03	3.76296e-05	8.42982e-05	1	8.80000e-02	7.50000e-01	2.50000e-01	-2.20000e-02
-1.06884e+00	4.16352e-01	5.56734e-01	1.08800e+00	6.68478e-01	5.88333e-01	7.18597e-03	4.85439e-02	2.24344e-03	-7.20039e-03	6.80024e-05	2.34755e-04	1	9.02000e-02	7.50000e-01	2.50000e-01	-1.98000e-02
-9.30897e-01	3.70880e-01	5.57633e-01	1.15448e+00	6.68442e-01	7.08344e-01	7.09307e-03	4.87591e-02	2.23953e-03	-7.19704e-03	8.97397e-05	3.59121e-04	1	9.24000e-02	7.50000e-01	2.50000e-01	-1.76000e-02
-7.77995e-01	2.40650e-01	3.98461e-01	1.19613e+00	6.68407e-01	8.64366e-01	7.01736e-03	4.89720e-02	2.23027e-03	-7.15231e-03	1.14783e-04	4.41187e-04	1	9.46000e-02	7.50000e-01	2.50000e-01	-1.54000e-02
-6.75044e-01	1.60475e-01	1.72618e-01	1.20672e+00	6.68368e-01	9.86696e-01	6.95351e-03	4.91327e-02	2.22367e-03	-7.08604e-03	1.55181e-04	4.82609e-04	1	9.68000e-02	7.50000e-01	2.50000e-01	-1.32000e-02
