Density	Momentum:0	Momentum:1	Momentum:2	Pressure	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.911718	-0.116179	-0.136109	-0.0173239	0.247535	0.0224509	0.0150817	0.0056215	-0.00881518	-0.00116139	0.000755196	0.5	0.15	0.011
0.911675	-0.11569	-0.137598	-0.0170971	0.247466	0.0224278	0.0146708	0.00563124	-0.00858194	-0.0013365	0.000877289	0.5	0.15	0.0132
0.911724	-0.115777	-0.139149	-0.0168915	0.247379	0.0224165	0.0144768	0.00560356	-0.00850468	-0.00143826	0.000952783	0.5	0.15	0.0154
0.911816	-0.116378	-0.140855	-0.0165975	0.247267	0.0223254	0.0144724	0.00555472	-0.00848622	-0.00141908	0.000980254	0.5	0.15	0.0176
0.911847	-0.117252	-0.142626	-0.0161621	0.247139	0.0221377	0.0144256	0.00550324	-0.00851373	-0.00134658	0.000959035	0.5	0.15	0.0198
0.911811	-0.1184	-0.143988	-0.0156904	0.247023	0.0219966	0.0142907	0.00546638	-0.00866242	-0.00129048	0.000903008	0.5	0.15	0.022
0.91177	-0.119616	-0.144751	-0.0152727	0.246947	0.0221159	0.0141705	0.00543556	-0.00888529	-0.00125039	0.000858117	0.5	0.15	0.0242
0.911761	-0.120321	-0.1451	-0.0147343	0.246931	0.0224204	0.0141447	0.00539449	-0.00910171	-0.00119963	0.000873667	0.5	0.15	0.0264
0.911799	-0.120114	-0.144798	-0.0138234	0.247001	0.022708	0.014233	0.0053275	-0.00922517	-0.00114216	0.000952531	0.5	0.15	0.0286
0.911839	-0.119194	-0.143695	-0.0125944	0.247149	0.0229662	0.0142225	0.00524892	-0.00925895	-0.00112976	0.0010418	0.5	0.15	0.0308
0.911807	-0.118114	-0.142703	-0.0112882	0.247284	0.0232212	0.0140641	0.00519687	-0.0092314	-0.00119148	0.00109182	0.5	0.15	0.033
0.911719	-0.117231	-0.142605	-0.00996059	0.247341	0.023406	0.0138519	0.00516614	-0.00920479	-0.0013126	0.00110538	0.5	0.15	0.0352
0.911646	-0.116596	-0.14284	-0.00850621	0.247368	0.0234933	0.0135979	0.00511369	-0.00922177	-0.00145992	0.00111687	0.5	0.15	0.0374
0.911613	-0.116139	-0.142616	-0.00698849	0.24742	0.0236358	0.0132893	0.00503281	-0.0092254	-0.00157843	0.00114879	0.5	0.15	0.0396
0.911613	-0.11575	-0.142064	-0.00556441	0.247494	0.0238036	0.0130546	0.00496031	-0.00914899	-0.00161776	0.0011819	0.5	0.15	0.0418
0.911658	-0.115476	-0.14162	-0.00418746	0.247563	0.0239808	0.0129729	0.00488531	-0.00901257	-0.00158138	0.0011956	0.5	0.15	0.044
0.911761	-0.115566	-0.141132	-0.0027594	0.247627	0.0241905	0.0128804	0.0047849	-0.0088954	-0.0015001	0.00115265	0.5	0.15	0.0462
0.911907	-0.11611	-0.140103	-0.00135189	0.247701	0.024304	0.0127768	0.00467315	-0.00877645	-0.00140131	0.00107979	0.5	0.15	0.0484
0.91203	-0.116834	-0.138397	-6.06602E-05	0.247798	0.0242833	0.0127225	0.00457597	-0.00857787	-0.00129285	0.00103582	0.5	0.15	0.0506
0.912052	-0.117441	-0.136363	0.00115019	0.247902	0.024195	0.012692	0.00450651	-0.00836728	-0.00113926	0.000998919	0.5	0.15	0.0528
0.911975	-0.117864	-0.134528	0.00235545	0.247981	0.0240854	0.0126352	0.00446781	-0.00821657	-0.000941217	0.000945065	0.5	0.15	0.055
0.911853	-0.118051	-0.133373	0.00359874	0.248012	0.0238787	0.0125867	0.00447417	-0.00816451	-0.00077803	0.000889697	0.5	0.15	0.0572
0.911691	-0.117859	-0.133073	0.00491078	0.247996	0.0235365	0.0126215	0.00453322	-0.00826096	-0.000707962	0.000860007	0.5	0.15	0.0594
0.911516	-0.117285	-0.133216	0.00630175	0.247973	0.0232429	0.0127208	0.00460994	-0.00853719	-0.00069252	0.000826856	0.5	0.15	0.0616
0.911388	-0.116579	-0.133168	0.00777341	0.247981	0.0231786	0.0128048	0.00464649	-0.00885037	-0.000644514	0.000739793	0.5	0.15	0.0638
0.911319	-0.115907	-0.132728	0.00935781	0.248027	0.0232925	0.0128326	0.00462253	-0.00905614	-0.000534214	0.000618331	0.5	0.15	0.066
0.911301	-0.115063	-0.131976	0.0110608	0.248116	0.0235241	0.0128595	0.00453938	-0.0091518	-0.000425616	0.000541081	0.5	0.15	0.0682
0.911314	-0.113802	-0.130836	0.0127768	0.248258	0.0237995	0.0130106	0.00440717	-0.00919776	-0.000363839	0.000521782	0.5	0.15	0.0704
