"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
8.81155e-01	1.98233e-18	0.00000e+00	0.00000e+00	6.29431e-01	2.51773e-01	6.29037e-03	-3.80717e-01	8.66036e-02	0.00000e+00
8.79123e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.27901e-01	2.51161e-01	6.17808e-03	-3.77950e-01	8.72596e-02	0.00000e+00
8.80605e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.29127e-01	2.51651e-01	4.23751e-03	-3.75146e-01	8.79059e-02	0.00000e+00
8.93437e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.38213e-01	2.55285e-01	7.04188e-03	-3.72305e-01	8.85422e-02	0.00000e+00
9.00257e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.43082e-01	2.57233e-01	1.09927e-02	-3.69427e-01	8.91683e-02	0.00000e+00
8.95831e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.39864e-01	2.55946e-01	1.08882e-02	-3.66514e-01	8.97840e-02	0.00000e+00
8.89955e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.35660e-01	2.54264e-01	9.82365e-03	-3.63564e-01	9.03891e-02	0.00000e+00
8.82847e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.30600e-01	2.52240e-01	9.41107e-03	-3.60577e-01	9.09833e-02	0.00000e+00
8.76620e-01	7.92991e-18	0.00000e+00	0.00000e+00	6.26153e-01	2.50461e-01	6.74227e-03	-3.57555e-01	9.15665e-02	0.00000e+00
8.76269e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.25911e-01	2.50365e-01	3.84308e-03	-3.54497e-01	9.21384e-02	0.00000e+00
8.77714e-01	-5.94778e-18	0.00000e+00	0.00000e+00	6.26930e-01	2.50772e-01	3.34896e-03	-3.51403e-01	9.26989e-02	0.00000e+00
8.78161e-01	-3.96525e-18	0.00000e+00	0.00000e+00	6.27265e-01	2.50906e-01	3.20334e-03	-3.48273e-01	9.32478e-02	0.00000e+00
8.80964e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.29277e-01	2.51711e-01	3.08770e-03	-3.45109e-01	9.37848e-02	0.00000e+00
8.85003e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.32151e-01	2.52860e-01	3.49495e-03	-3.41908e-01	9.43098e-02	0.00000e+00
8.88549e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.34704e-01	2.53882e-01	3.06962e-03	-3.38673e-01	9.48226e-02	0.00000e+00
8.91528e-01	3.96545e-18	0.00000e+00	0.00000e+00	6.36794e-01	2.54718e-01	1.64941e-03	-3.35403e-01	9.53230e-02	0.00000e+00
8.93513e-01	5.94778e-18	0.00000e+00	0.00000e+00	6.38237e-01	2.55295e-01	4.91606e-04	-3.32099e-01	9.58109e-02	0.00000e+00
8.97351e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.40969e-01	2.56388e-01	1.61699e-03	-3.28759e-01	9.62860e-02	0.00000e+00
8.99929e-01	5.94758e-18	0.00000e+00	0.00000e+00	6.42806e-01	2.57122e-01	4.25031e-03	-3.25386e-01	9.67483e-02	0.00000e+00
8.98222e-01	1.98253e-18	0.00000e+00	0.00000e+00	6.41595e-01	2.56638e-01	5.01562e-03	-3.21979e-01	9.71976e-02	0.00000e+00
8.97034e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.40737e-01	2.56295e-01	4.40299e-03	-3.18538e-01	9.76337e-02	0.00000e+00
8.96325e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.40230e-01	2.56092e-01	4.63529e-03	-3.15064e-01	9.80565e-02	0.00000e+00
8.93762e-01	1.98273e-18	0.00000e+00	0.00000e+00	6.38398e-01	2.55359e-01	4.37048e-03	-3.11557e-01	9.84658e-02	0.00000e+00
8.91986e-01	-1.98273e-18	0.00000e+00	0.00000e+00	6.37130e-01	2.54852e-01	3.24594e-03	-3.08016e-01	9.88616e-02	0.00000e+00
8.91773e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.36980e-01	2.54792e-01	2.97915e-03	-3.04444e-01	9.92436e-02	0.00000e+00
8.91553e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.36829e-01	2.54731e-01	3.31275e-03	-3.00839e-01	9.96118e-02	0.00000e+00
8.91721e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.36944e-01	2.54778e-01	3.03685e-03	-2.97201e-01	9.99660e-02	0.00000e+00
8.92925e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.37808e-01	2.55123e-01	2.36673e-03	-2.93533e-01	1.00306e-01	0.00000e+00
8.94946e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.39249e-01	2.55700e-01	2.40981e-03	-2.89832e-01	1.00632e-01	0.00000e+00
8.96288e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.40204e-01	2.56082e-01	3.21451e-03	-2.86101e-01	1.00944e-01	0.00000e+00
8.96225e-01	-5.94818e-18	0.00000e+00	0.00000e+00	6.40164e-01	2.56065e-01	3.39396e-03	-2.82339e-01	1.01242e-01	0.00000e+00
8.96839e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.40603e-01	2.56241e-01	2.71789e-03	-2.78547e-01	1.01525e-01	0.00000e+00
8.99250e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.42327e-01	2.56931e-01	2.70253e-03	-2.74725e-01	1.01793e-01	0.00000e+00
9.00870e-01	1.98253e-18	0.00000e+00	0.00000e+00	6.43474e-01	2.57390e-01	3.26368e-03	-2.70873e-01	1.02047e-01	0.00000e+00
9.00512e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.43225e-01	2.57290e-01	2.60258e-03	-2.66992e-01	1.02286e-01	0.00000e+00
9.00416e-01	3.96505e-22	0.00000e+00	0.00000e+00	6.43152e-01	2.57261e-01	7.67649e-04	-2.63081e-01	1.02511e-01	0.00000e+00
9.01076e-01	-5.94738e-18	0.00000e+00	0.00000e+00	6.43628e-01	2.57451e-01	-7.33793e-04	-2.59143e-01	1.02721e-01	0.00000e+00
9.02191e-01	-1.18954e-17	0.00000e+00	0.00000e+00	6.44430e-01	2.57772e-01	-1.38643e-03	-2.55176e-01	1.02916e-01	0.00000e+00
9.03814e-01	-1.98273e-18	0.00000e+00	0.00000e+00	6.45589e-01	2.58236e-01	-1.42510e-03	-2.51181e-01	1.03096e-01	0.00000e+00
9.04701e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.46222e-01	2.58489e-01	-1.42977e-03	-2.47159e-01	1.03262e-01	0.00000e+00
