"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Points:0"	"Points:1"	"Points:2"
9.00402e-01	-1.52704e-18	-9.71653e-19	0.00000e+00	6.43144e-01	2.57258e-01	-7.53057e-05	1.03688e-05	1.85263e-05	-9.50202e-04	-8.89273e-01	7.39188e-02	8.20737e-02	1.10000e-01
9.00326e-01	-1.52670e-18	-6.93924e-19	0.00000e+00	6.43089e-01	2.57236e-01	-7.54099e-05	1.04842e-05	1.99577e-05	-9.51690e-04	-8.89955e-01	7.86265e-02	8.14230e-02	1.10000e-01
9.00209e-01	3.33129e-18	6.93924e-19	0.00000e+00	6.43006e-01	2.57202e-01	-7.66559e-05	1.08218e-05	1.85424e-05	-9.67700e-04	-8.90995e-01	8.33249e-02	8.07668e-02	1.10000e-01
9.00159e-01	-1.80453e-18	-1.24897e-18	0.00000e+00	6.42971e-01	2.57188e-01	-8.10396e-05	1.15447e-05	1.59023e-05	-1.02322e-03	-8.91439e-01	8.80135e-02	8.01053e-02	1.10000e-01
9.00156e-01	2.22093e-18	6.93542e-20	0.00000e+00	6.42969e-01	2.57187e-01	-8.48490e-05	1.22243e-05	1.33159e-05	-1.07156e-03	-8.91462e-01	9.26920e-02	7.94387e-02	1.10000e-01
9.00120e-01	-6.93889e-19	-2.77729e-19	0.00000e+00	6.42943e-01	2.57177e-01	-8.87688e-05	1.29112e-05	1.04741e-05	-1.12128e-03	-8.91783e-01	9.73597e-02	7.87671e-02	1.10000e-01
9.00116e-01	-1.94240e-18	-6.93924e-19	0.00000e+00	6.42940e-01	2.57176e-01	-9.25769e-05	1.35941e-05	7.18573e-06	-1.16962e-03	-8.91821e-01	1.02016e-01	7.80908e-02	1.10000e-01
9.00013e-01	-2.08118e-18	-2.08028e-19	0.00000e+00	6.42867e-01	2.57147e-01	-8.99190e-05	1.33536e-05	5.29244e-06	-1.13631e-03	-8.92737e-01	1.06661e-01	7.74100e-02	1.10000e-01
8.99660e-01	-3.88641e-18	-2.77764e-19	0.00000e+00	6.42615e-01	2.57046e-01	-8.43619e-05	1.27488e-05	5.55920e-06	-1.06649e-03	-8.95882e-01	1.11294e-01	7.67248e-02	1.10000e-01
8.99385e-01	-1.80335e-18	2.77556e-19	0.00000e+00	6.42419e-01	2.56967e-01	-8.69780e-05	1.32178e-05	7.43604e-06	-1.09971e-03	-8.98338e-01	1.15914e-01	7.60354e-02	1.10000e-01
8.99412e-01	6.94167e-19	-8.32494e-19	0.00000e+00	6.42437e-01	2.56975e-01	-9.41724e-05	1.43053e-05	1.27594e-05	-1.19066e-03	-8.98112e-01	1.20521e-01	7.53420e-02	1.10000e-01
8.99461e-01	1.38153e-19	8.32563e-19	0.00000e+00	6.42473e-01	2.56989e-01	-9.58590e-05	1.47475e-05	2.01472e-05	-1.21233e-03	-8.97663e-01	1.25114e-01	7.46448e-02	1.10000e-01
8.99389e-01	1.24852e-18	-9.71237e-19	0.00000e+00	6.42421e-01	2.56968e-01	-9.35861e-05	1.45191e-05	2.12602e-05	-1.18382e-03	-8.98307e-01	1.29693e-01	7.39438e-02	1.10000e-01
8.99322e-01	-9.72139e-19	-2.56743e-18	0.00000e+00	6.42373e-01	2.56949e-01	-9.36648e-05	1.46252e-05	1.49694e-05	-1.18500e-03	-8.98909e-01	1.34258e-01	7.32395e-02	1.10000e-01
8.99301e-01	-3.33039e-18	6.92502e-20	0.00000e+00	6.42358e-01	2.56943e-01	-9.74425e-05	1.53335e-05	1.02336e-05	-1.23302e-03	-8.99091e-01	1.38808e-01	7.25318e-02	1.10000e-01
8.99260e-01	1.38153e-19	-3.46945e-23	0.00000e+00	6.42330e-01	2.56932e-01	-1.00594e-04	1.59917e-05	9.35814e-06	-1.27321e-03	-8.99452e-01	1.43343e-01	7.18209e-02	1.10000e-01
8.99133e-01	4.71845e-18	4.16299e-19	0.00000e+00	6.42239e-01	2.56896e-01	-9.85735e-05	1.58076e-05	6.91130e-06	-1.24791e-03	-9.00586e-01	1.47861e-01	7.11071e-02	1.10000e-01
8.98952e-01	5.54001e-19	-6.93924e-19	0.00000e+00	6.42109e-01	2.56844e-01	-9.49964e-05	1.53275e-05	3.82763e-06	-1.20281e-03	-9.02208e-01	1.52364e-01	7.03905e-02	1.10000e-01
8.98866e-01	1.11036e-18	6.24605e-19	0.00000e+00	6.42047e-01	2.56819e-01	-9.68673e-05	1.57395e-05	5.65101e-06	-1.22672e-03	-9.02980e-01	1.56850e-01	6.96713e-02	1.10000e-01
8.98886e-01	-2.35964e-18	-1.38813e-19	0.00000e+00	6.42062e-01	2.56825e-01	-1.01799e-04	1.66178e-05	1.08921e-05	-1.28933e-03	-9.02800e-01	1.61319e-01	6.89496e-02	1.10000e-01
8.98833e-01	4.16542e-19	-1.38917e-19	0.00000e+00	6.42024e-01	2.56810e-01	-1.03271e-04	1.69871e-05	1.19688e-05	-1.30824e-03	-9.03267e-01	1.65770e-01	6.82256e-02	1.10000e-01
8.98715e-01	9.02056e-22	9.71584e-19	0.00000e+00	6.41940e-01	2.56776e-01	-1.02330e-04	1.69265e-05	5.12482e-06	-1.29650e-03	-9.04326e-01	1.70204e-01	6.74995e-02	1.10000e-01
8.98672e-01	1.39055e-19	-5.55111e-19	0.00000e+00	6.41909e-01	2.56764e-01	-1.01736e-04	1.69524e-05	-4.12973e-06	-1.28923e-03	-9.04707e-01	1.74619e-01	6.67714e-02	1.10000e-01
8.98660e-01	-4.16403e-19	4.16125e-19	0.00000e+00	6.41900e-01	2.56760e-01	-1.01963e-04	1.71213e-05	-6.29842e-06	-1.29238e-03	-9.04821e-01	1.79016e-01	6.60415e-02	1.10000e-01
8.98620e-01	1.52670e-18	-6.93542e-20	0.00000e+00	6.41871e-01	2.56749e-01	-1.05484e-04	1.78420e-05	1.22741e-06	-1.33728e-03	-9.05179e-01	1.83393e-01	6.53099e-02	1.10000e-01
8.98642e-01	6.24500e-22	-1.38674e-19	0.00000e+00	6.41887e-01	2.56755e-01	-1.12637e-04	1.91165e-05	1.09668e-05	-1.42809e-03	-9.04990e-01	1.87751e-01	6.45769e-02	1.10000e-01
8.98717e-01	-3.88488e-18	2.77937e-19	0.00000e+00	6.41940e-01	2.56776e-01	-1.18896e-04	2.03270e-05	1.48237e-05	-1.50776e-03	-9.04318e-01	1.92089e-01	6.38424e-02	1.10000e-01
8.98738e-01	1.24956e-18	8.32633e-19	0.00000e+00	6.41956e-01	2.56783e-01	-1.21745e-04	2.09875e-05	1.29205e-05	-1.54425e-03	-9.04117e-01	1.96407e-01	6.31068e-02	1.10000e-01
8.98698e-01	4.16361e-18	1.38743e-19	0.00000e+00	6.41928e-01	2.56771e-01	-1.22957e-04	2.13326e-05	1.04043e-05	-1.55992e-03	-9.04474e-01	2.00705e-01	6.23701e-02	1.10000e-01
